Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p,QC_Correlation,QC_report,blast,panaroo_present
group_9478,NA,Prophage protein,212,40,555,334,27.640156453715775,89.3048128342246,3.1895495495495494,1.45541529787348e-11,4.06497492696063e-7,3.788732872940679e-7,42,34,10,6.87711149112147e-5,9.4067402824293e-4,0.997538686675493,GOOD,261,260
group_5258,NA,hypothetical protein,214,41,553,333,27.90091264667536,89.03743315508021,3.143033564151193,2.713020317179147e-11,7.577465745881358e-7,3.788732872940679e-7,39,32,12,7.025478407740593e-5,0.02370270247047301,0.969205912781181,GOOD,276,263
group_3615,NA,Ead/Ea22-like family protein,220,45,547,329,28.683181225554105,87.96791443850267,2.940483445053829,9.3596641389955e-11,2.614154194021443e-6,4.060699660610583e-7,40,32,12,1.8216582975583e-4,0.01658900337497471,0.992918441949401,GOOD,277,274
group_5476,NA,DUF6012 domain-containing protein,220,45,547,329,28.683181225554105,87.96791443850267,2.940483445053829,9.3596641389955e-11,2.614154194021443e-6,4.060699660610583e-7,40,32,12,1.8216582975583e-4,0.01658900337497471,0.985704610049118,GOOD,270,274
group_8056,NA,Phage protein;hypothetical protein,218,45,549,329,28.42242503259452,87.96791443850267,2.903137016798219,2.1291546617689907e-10,5.946728970320791e-6,4.060699660610583e-7,42,32,14,9.4067402824293e-4,0.04355852192384191,0.459830885178769,PROBLEMATIC,70,271
group_4628,NA,hypothetical protein,217,45,550,329,28.292046936114733,87.96791443850267,2.8845656565656568,2.1774074973158904e-10,6.081499140003282e-6,4.060699660610583e-7,41,32,12,4.3085704237455e-4,0.01150778973533306,0.985797438975884,GOOD,276,270
group_7306,NA,Phage protein,225,48,542,326,29.335071707953063,87.16577540106952,2.8194188191881917,2.41201037252933e-10,6.7367449704744194e-6,4.060699660610583e-7,40,31,13,6.7954825499327e-4,0.03847730828420026,0.990708976907636,GOOD,284,282
group_3674,NA,Amino acid permease,225,48,542,326,29.335071707953063,87.16577540106952,2.8194188191881917,2.41201037252933e-10,6.7367449704744194e-6,4.060699660610583e-7,40,31,13,6.7954825499327e-4,0.03847730828420026,0.990708976907636,GOOD,284,282
group_2869,NA,Phage protein,220,46,547,328,28.683181225554105,87.70053475935828,2.8678165487640093,2.541664635721093e-10,7.098869327569012e-6,4.060699660610583e-7,40,32,13,1.8216582975583e-4,0.03847730828420026,0.99293616394741,GOOD,278,275
group_11138,NA,hypothetical protein,220,46,547,328,28.683181225554105,87.70053475935828,2.8678165487640093,2.541664635721093e-10,7.098869327569012e-6,4.060699660610583e-7,40,32,13,1.8216582975583e-4,0.03847730828420026,0.99293616394741,GOOD,278,275
group_11093,NA,hypothetical protein,220,46,547,328,28.683181225554105,87.70053475935828,2.8678165487640093,2.541664635721093e-10,7.098869327569012e-6,4.060699660610583e-7,40,32,13,1.8216582975583e-4,0.03847730828420026,0.990604316328891,GOOD,279,275
group_10690,NA,hypothetical protein,220,46,547,328,28.683181225554105,87.70053475935828,2.8678165487640093,2.541664635721093e-10,7.098869327569012e-6,4.060699660610583e-7,40,32,13,1.8216582975583e-4,0.03847730828420026,0.99293616394741,GOOD,278,275
group_3524,NA,Phage protein,220,46,547,328,28.683181225554105,87.70053475935828,2.8678165487640093,2.541664635721093e-10,7.098869327569012e-6,4.060699660610583e-7,40,32,13,1.8216582975583e-4,0.03847730828420026,0.99293616394741,GOOD,278,275
group_2899,NA,DUF4942 domain-containing protein,220,46,547,328,28.683181225554105,87.70053475935828,2.8678165487640093,2.541664635721093e-10,7.098869327569012e-6,4.060699660610583e-7,40,32,13,1.8216582975583e-4,0.03847730828420026,0.99293616394741,GOOD,278,275
group_9150,NA,Transmembrane protein;hypothetical protein,214,44,553,330,27.90091264667536,88.23529411764706,2.902350813743219,2.6796224487379033e-10,7.484185499324964e-6,4.060699660610583e-7,40,30,13,0.00222143377322936,0.03847730828420026,0.059450532049135,PROBLEMATIC,19,267
group_13185,NA,Invertase;hypothetical protein;DNA-binding protein;Putative invertase,310,82,457,292,40.41720990873533,78.07486631016043,2.4155414420664996,3.5767490164223835e-10,9.989860002867718e-6,4.060699660610583e-7,129,92,48,1.397144948615295e-6,0.00464969581341766,0.0563362724446898,PROBLEMATIC,2,411
group_4700,NA,DUF4165 domain-containing protein;Ig-like domain repeat protein;Ig-like domain-containing protein,213,44,554,330,27.77053455019557,88.23529411764706,2.8835740072202167,4.074310865396809e-10,1.1379550247053288e-5,4.060699660610583e-7,31,26,9,1.9219517707824e-4,0.02944937348365783,0.982984631964395,GOOD,265,266
group_9147,NA,hypothetical protein,220,47,547,327,28.683181225554105,87.43315508021391,2.798241860826948,4.6199445481832174e-10,1.2903505123075728e-5,4.060699660610583e-7,40,31,13,6.7954825499327e-4,0.03847730828420026,0.74240847743408,PROBLEMATIC,170,276
group_8148,NA,Transmembrane protein;hypothetical protein,220,47,547,327,28.683181225554105,87.43315508021391,2.798241860826948,4.6199445481832174e-10,1.2903505123075728e-5,4.060699660610583e-7,40,31,13,6.7954825499327e-4,0.03847730828420026,0.952583928106132,GOOD,256,276
group_304,NA,Lipoprotein,195,40,572,334,25.42372881355932,89.3048128342246,2.846590909090909,2.247618519352555e-9,6.277598524551687e-5,7.133634686990553e-7,25,22,6,1.5652179718017e-4,0.01463329792022705,0.992261487236826,GOOD,245,244
group_1444,NA,Gp11,281,73,486,301,36.63624511082138,80.4812834224599,2.3840408140255933,2.4863337646961904e-9,6.944330204796461e-5,7.802618207636473e-7,106,83,36,3.787227599932374e-9,0.00124023971439765,0.210606497900316,PROBLEMATIC,23,365
group_6087,NA,hypothetical protein,168,34,599,340,21.903520208604952,90.9090909090909,2.8046744574290483,3.688547175260718e-8,0.00103021122605031,9.538992833799246e-6,27,23,7,3.1074881553649e-4,0.0191572904586792,0.985576791774737,GOOD,212,209
group_13445,NA,immunoglobulin domain-containing protein;Ig-like domain-containing protein,240,63,527,311,31.290743155149936,83.15508021390374,2.2481250564742026,1.1534455934535213e-7,0.00322157354251568,2.422235746252395e-5,87,69,30,3.3216173725435786e-8,0.00501359890014638,0.0486677336761686,PROBLEMATIC,1,311
group_1552,NA,Replication protein P;Origin specific replication binding factor,218,56,549,318,28.42242503259452,85.02673796791443,2.2548790007806403,3.2016619051600674e-7,0.00894224170111206,5.7691881942658505e-5,71,56,24,1.041401930475792e-6,0.00855453850269342,0.960145384423743,GOOD,266,281
group_1497,NA,Helix-turn-helix domain-containing protein;hypothetical protein;helix-turn-helix domain-containing protein,214,55,553,319,27.90091264667536,85.29411764705883,2.244484629294756,5.571523828802025e-7,0.01556126605384405,8.841628439684123e-5,67,53,23,1.7728678775519788e-6,0.01393387502428778,0.988195482362617,GOOD,272,277
group_12347,NA,HK97 gp10 family phage protein,263,75,504,299,34.289439374185136,79.94652406417111,2.0803439153439154,5.965392304821176e-7,0.01666134070736554,9.225477487560814e-5,99,78,33,6.88231823830183e-9,0.00118523142546769,0.0451996823081946,PROBLEMATIC,1,346
group_1437,NA,Tail protein;Phage protein;DUF3168 domain-containing protein,265,76,502,298,34.55019556714472,79.67914438502673,2.069878381211994,6.398947612467428e-7,0.01787226068162152,9.357204545351583e-5,99,78,34,6.88231823830183e-9,0.002394629357506,0.991862791681023,GOOD,345,349
group_4170,NA,GCN5 family acetyltransferase,149,32,618,342,19.426336375488916,91.44385026737967,2.576759708737864,1.1142946990371375e-6,0.03112225094410725,1.5639322082465e-4,31,24,9,0.0033268928527832,0.02944937348365783,0.993717639711995,GOOD,190,188
group_1307,NA,Toxin-antitoxin system protein;hypothetical protein;DUF1778 domain-containing protein,176,42,591,332,22.946544980443285,88.77005347593582,2.354040770284425,1.287187670586329e-6,0.03595115163947617,1.7623113548762e-4,52,39,16,4.0954145378258e-4,0.00778743630574352,0.740782504640715,PROBLEMATIC,345,225
group_13707,NA,DUF6246 domain-containing protein;Gp17,265,78,502,296,34.55019556714472,79.14438502673798,2.003268975380529,1.9079515523573613e-6,0.0532890868573411,2.5255491401583e-4,100,78,35,1.5905328473786136e-8,0.00351764172297015,0.917318560519364,INSPECT,310,351
traW,traW;,type-F conjugative transfer system protein TraW;IncF plasmid conjugative transfer pilus assembly protein TraW;hypothetical protein,261,77,506,297,34.02868318122555,79.41176470588235,1.989553924336533,2.460822438558212e-6,0.06873077070893087,3.1527876471986e-4,95,72,36,4.757482385242055e-7,0.02348800283692114,0.571887433206422,PROBLEMATIC,147,348
group_11947,NA,hypothetical protein;Tape measure protein N-terminal domain-containing protein;tape measure protein;tail protein (tape measure);Phage tape measure protein;Tail length tape measure protein;Tape measure protein,266,80,501,294,34.68057366362451,78.6096256684492,1.9511976047904191,3.99889737686463e-6,0.1116892037358291,4.6537168223262e-4,99,74,38,8.505991593882263e-7,0.02652510684839442,0.0437625442281723,PROBLEMATIC,1,362
catA1,;catA1,Chloramphenicol acetyltransferase;type A-1 chloramphenicol O-acetyltransferase,72,10,695,364,9.38722294654498,97.32620320855617,3.7709352517985617,1.4083642437040136e-5,0.39335613326653096,0.00129820506028558,26,22,6,5.3352117538452e-4,0.00935530662536621,0.925607011990847,INSPECT,88,86
traU,traU;,conjugal transfer pilus assembly protein TraU;hypothetical protein;TraU family protein,323,109,444,265,42.11212516297262,70.85561497326202,1.7686379039590048,2.293959830429792e-5,0.640702980639041,0.00198115054846535,126,98,49,2.6876327763532745e-10,0.01581820400805213,0.0531193978589174,PROBLEMATIC,2,443
group_190,NA,GNAT family N-acetyltransferase;N-acetyltransferase domain-containing protein,70,10,697,364,9.126466753585396,97.32620320855617,3.6556671449067433,3.346138104953175e-5,0.9345763727134218,0.00277322365790332,27,22,6,0.00151371955871582,0.00592461228370666,0.185952704189613,PROBLEMATIC,3,81
trbC,trbC,type-F conjugative transfer system pilin assembly protein TrbC,308,103,459,271,40.15645371577575,72.45989304812835,1.7655096558580283,3.3581592812467954e-5,0.93793388725223,0.0027749523291486,119,92,46,1.7323422836309296e-9,0.01678632911847824,NA,CONSTANT,0,421
group_10243,NA,hypothetical protein,42,3,725,371,5.475880052151238,99.19786096256684,7.164137931034483,3.380691649361008e-5,0.9442271776665296,0.00277713875784273,14,13,2,0.0018310546875,0.012939453125,0.966476981270221,GOOD,47,46
group_3853,NA,hypothetical protein,41,3,726,371,5.345501955671447,99.19786096256684,6.983930211202939,5.365096641709451e-5,1,0.00423297031646737,13,12,2,0.00341796875,0.0224609375,0.458783009498858,PROBLEMATIC,187,45
group_9682,ydaY;,YdaY;Tail assembly chaperone,212,64,555,310,27.640156453715775,82.88770053475936,1.8502252252252251,9.0453015186343e-5,1,0.00673694057107882,83,63,32,2.4306979592052185e-6,0.04752488925653182,0.051595885227559,PROBLEMATIC,1,285
ninB,ninB,recombination protein NinB;Putative ninB protein;NinB protein,78,15,689,359,10.16949152542373,95.98930481283422,2.709433962264151,2.0899530366841e-4,1,0.01354347756718956,53,43,12,5.550520889130439e-6,8.171334999262925e-5,0.988869992441421,GOOD,98,98
group_1529,rrrD;,Phage-related lysozyme (muramidase) GH24 family;lysozyme;Holin;HP1 family phage holin;Lysozyme;Lipoprotein;hypothetical protein,301,106,466,268,39.24380704041721,71.65775401069519,1.633087699408859,2.9319901795894e-4,1,0.01749796703331936,112,81,44,2.527750353811693e-6,0.02930222297163279,0.244505834260241,PROBLEMATIC,41,422
bhsA,;bhsA,YdgH/BhsA/McbA-like domain-containing protein;Multiple stress resistance protein BhsA,718,367,49,7,93.61147327249022,1.8716577540106951,0.27948618139353837,6.4569820067295e-4,1,0.03389915553533015,26,7,20,0.00935530662536621,0.02895927429199218,0.972615105010872,GOOD,1121,1120
xerD~~~fimB,xerD;fimB;,Site-specific recombinase XerD;type 1 fimbria switch DNA invertase FimB;Tyrosine recombinase;Type 1 fimbriae regulatory protein FimB,725,369,42,5,94.52411994784876,1.3368983957219251,0.23390114853529487,6.7135309363837e-4,1,0.03478829667035216,23,5,19,0.00259947776794433,0.01062202453613281,0.907340623449105,INSPECT,1126,1129
group_8525,higA,Antitoxin component HigA of the HigAB toxin-antitoxin module contains an N-terminal HTH domain,470,189,297,185,61.27770534550196,49.465240641711226,1.5489996971478452,7.0471965653167e-4,1,0.03591755475717108,86,54,60,3.1699928227764e-4,0.02298259190715704,0.998257887350527,GOOD,685,684
group_9274,;rcnA,Nickel/cobalt efflux system;ABC-type nickel/cobalt efflux system permease component RcnA;High-affinity nickel-transport protein;hypothetical protein,720,367,47,7,93.8722294654498,1.8716577540106951,0.29219085164357356,9.6024195254516e-4,1,0.04553405387875475,25,7,20,0.00407731533050537,0.04328525066375732,0.0480098182203923,PROBLEMATIC,52,1122
group_7633,marR,DNA-binding transcriptional regulator MarR family,719,367,48,7,93.74185136897,1.8716577540106951,0.2857061762034514,9.9210939457564e-4,1,0.04680678275421941,26,7,20,0.00935530662536621,0.02895927429199218,0.937387940852826,INSPECT,1118,1121
group_4389,rhaT;eamA;,Permease of the drug/metabolite transporter (DMT) superfamily;EamA family transporter;DMT family transporter;hypothetical protein;Drug/metabolite transporter permease,719,367,48,7,93.74185136897,1.8716577540106951,0.2857061762034514,9.9210939457564e-4,1,0.04680678275421941,26,7,20,0.00935530662536621,0.02895927429199218,0.963128159381505,GOOD,1121,1121
