Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p,QC_Correlation,QC_report,blast,panaroo_present
group_13738,NA,Maltose transport system permease;hypothetical protein;sugar ABC transporter permease;Maltose transport system permease component;maltose transporter permease,166,229,402,344,29.22535211,60.03490401,0.620304591,1.46E-04,1,0.006077703,68,51,49,4.45E-05,3.58E-04,0.969114646,GOOD,431,414
group_8956,NA,Putative zinc ribbon domain-containing protein,398,336,170,237,70.07042254,41.36125654,1.651365546,5.86E-05,1,0.002762756,85,57,61,7.40E-05,0.002194909,0.990779387,GOOD,758,755
group_11996,;mcrA,hypothetical protein;5-methylcytosine-specific restriction endonuclease McrA,162,227,406,346,28.52112676,60.38394415,0.608189926,8.25E-05,1,0.003735629,87,61,58,2.24E-04,0.00247942,0.994381522,GOOD,408,405
glpP,glpP;,Glycerol-3-phosphate responsive antiterminator (mRNA-binding);Glycerol uptake operon antiterminator regulatory protein,399,335,169,238,70.24647887,41.53577661,1.67732933,3.43E-05,0.959022159,0.00175004,86,57,60,3.17E-04,0.003353275,0.992621951,GOOD,757,755
parF,parF;,Plasmid partition protein ParF (Serine recombinase);Resolvase,15,1,553,572,2.64084507,99.82547993,15.51537071,2.39E-04,1,0.009491952,13,13,1,2.44E-04,0.003417969,0.872972097,INSPECT,13,17
fbaB,fbaB,Fructose-bisphosphate aldolase class Ia DhnA family,398,335,170,238,70.07042254,41.53577661,1.663283582,4.54E-05,1,0.002254856,85,56,60,1.87E-04,0.00451164,0.990789019,GOOD,757,754
group_11988,;xylB,hypothetical protein;FGGY-family carbohydrate kinase;Putative L-xylulose kinase;Sugar (pentulose or hexulose) kinase,399,336,169,237,70.24647887,41.36125654,1.665310651,4.45E-05,1,0.002221678,87,57,61,2.24E-04,0.005013599,0.988917888,GOOD,758,756
group_5655,fabG,NAD(P)-dependent dehydrogenase short-chain alcohol dehydrogenase family,399,336,169,237,70.24647887,41.36125654,1.665310651,4.45E-05,1,0.002221678,87,57,61,2.24E-04,0.005013599,0.990769677,GOOD,759,756
group_14933,NA,Iron-sulfur cluster carrier protein,14,1,554,572,2.464788732,99.82547993,14.45487365,4.59E-04,1,0.017032932,12,12,1,4.88E-04,0.006347656,1,GOOD,16,16
group_14919,copG,CopG family transcriptional regulator,14,1,554,572,2.464788732,99.82547993,14.45487365,4.59E-04,1,0.017032932,12,12,1,4.88E-04,0.006347656,0.967829476,GOOD,15,16
