Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p,QC_Correlation,QC_report,blast,panaroo_present,
group_13738,NA,Maltose transport system permease;hypothetical protein;sugar ABC transporter permease;Maltose transport system permease component;maltose transporter permease,139,256,351,395,28.36734694,60.67588326,0.611033209,1.24E-04,1,0.004415343,69,50,48,2.44E-04,0.001550317,0.969114646,GOOD,431,414,#CALC!
traD~~~virD4~~~traM~~~traG,traD;virD4;traM;traG;,Conjugative transfer system coupling protein TraD;Type IV secretory pathway VirD4 component;TraD/TraG TraM recognition site domain-containing protein;TraM recognition domain-containing protein;Conjugal transfer protein TraG;TraM recognition site of TraD and TraG;TraG-family proteinconjugative coupling factor TraD PFGI-1 class,317,311,173,340,64.69387755,52.22734255,2.00323402,1.47E-08,4.12E-04,1.18E-06,70,48,51,1.66E-04,0.002547565,0.952736612,GOOD,633,655,
iCP,iCP,Chagasin-like inhibitor of cysteine peptidase I42 family,12,43,478,608,2.448979592,93.39477727,0.354967403,0.001154635,1,0.033557698,33,8,26,0.001318727,0.004551384,0.990747451,GOOD,56,57,
group_11164,;adk,AAA family ATPase;Adenylate kinase or related kinase,236,378,254,273,48.16326531,41.93548387,0.67104112,9.70E-04,1,0.028799036,68,47,46,0.002186243,0.004903383,0.90918628,INSPECT,596,641,
group_6835,araH,Ribose/xylose/arabinose/galactoside ABC-type transport system permease component,270,269,220,382,55.10204082,58.67895545,1.74281852,4.00E-06,0.111609995,1.84E-04,66,44,46,0.00185823,0.00921049,0.994893458,GOOD,558,557,
rbsA~~~ccmA,rbsA;;ccmA,Ribose import ATP-binding protein RbsA;ATP-binding cassette domain-containing protein;heme ABC exporter ATP-binding protein CcmA,270,269,220,382,55.10204082,58.67895545,1.74281852,4.00E-06,0.111609995,1.84E-04,66,44,46,0.00185823,0.00921049,0.994893458,GOOD,558,557,
group_4927,tktA2,Transketolase C-terminal subunit,270,269,220,382,55.10204082,58.67895545,1.74281852,4.00E-06,0.111609995,1.84E-04,66,44,46,0.00185823,0.00921049,0.994893458,GOOD,558,557,
group_2442,tktA1,Transketolase N-terminal subunit,270,269,220,382,55.10204082,58.67895545,1.74281852,4.00E-06,0.111609995,1.84E-04,66,44,46,0.00185823,0.00921049,0.994893458,GOOD,558,557,
deoR,deoR,DNA-binding transcriptional regulator LsrR DeoR family,270,269,220,382,55.10204082,58.67895545,1.74281852,4.00E-06,0.111609995,1.84E-04,66,44,46,0.00185823,0.00921049,0.994893458,GOOD,558,557,
group_11608,qor;,NADPH:quinone reductase or related Zn-dependent oxidoreductase;Zinc-type alcohol dehydrogenase-like protein,167,288,323,363,34.08163265,55.76036866,0.651670537,6.19E-04,1,0.019413694,130,80,80,0.010694055,0.010694055,0.996449583,GOOD,466,466,
group_8525,higA,Antitoxin component HigA of the HigAB toxin-antitoxin module contains an N-terminal HTH domain,322,337,168,314,65.71428571,48.23348694,1.785855589,2.31E-06,0.064478714,1.10E-04,84,54,57,0.001404495,0.011634454,0.998257887,GOOD,685,684,
group_8370,NA,putative periplasmic lipoprotein;DUF2291 domain-containing protein,270,270,220,381,55.10204082,58.52534562,1.731818182,5.28E-06,0.147574986,2.39E-04,65,43,47,4.22E-04,0.012502546,0.996594982,GOOD,558,558,
