set,fold,auc,acc,prec,rec,f1,Tag
train,1,0.923016892225625,0.8399122807017544,0.805699481865285,0.8141361256544503,0.8098958333333334,Clinical
val,1,0.7342927815329662,NA,NA,NA,NA,Clinical
test,1,0.7100486599212172,0.6403508771929824,0.6288659793814433,0.5700934579439252,0.5980392156862745,Clinical
train,2,0.9874414466666994,0.9484649122807016,0.9362244897959184,0.9434447300771208,0.939820742637644,Clinical
val,2,0.7112726024754895,NA,NA,NA,NA,Clinical
test,2,0.7594921875,0.6885964912280702,0.6435643564356436,0.65,0.6467661691542289,Clinical
train,3,0.9172848957818828,0.8322368421052632,0.800524934383202,0.7984293193717278,0.799475753604194,Clinical
val,3,0.7085589568993349,NA,NA,NA,NA,Clinical
test,3,0.740016992353441,0.6754385964912281,0.6633663366336634,0.6261682242990654,0.6442307692307693,Clinical
train,4,0.9243500836948724,0.8464912280701754,0.8159806295399515,0.8403990024937655,0.828009828009828,Clinical
val,4,0.7230770932794868,NA,NA,NA,NA,Clinical
test,4,0.76875,0.7105263157894737,0.61,0.6931818181818182,0.648936170212766,Clinical
train,5,0.917842161740318,0.8333333333333334,0.8004807692307693,0.8283582089552238,0.8141809290953546,Clinical
val,5,0.7406423763535265,NA,NA,NA,NA,Clinical
test,5,0.7152115431645878,0.631578947368421,0.5142857142857142,0.6206896551724138,0.5625,Clinical
train,1,0.9939543613553294,0.9660087719298246,0.9630606860158312,0.9554973821989527,0.9592641261498028,Clinical+ARG/Vir
val,1,0.7389631627566199,NA,NA,NA,NA,Clinical+ARG/Vir
test,1,0.7454236502664708,0.6798245614035088,0.6770833333333334,0.6074766355140186,0.6403940886699507,Clinical+ARG/Vir
train,2,0.996898455125905,0.9692982456140352,0.9712793733681462,0.9562982005141388,0.9637305699481864,Clinical+ARG/Vir
val,2,0.7287226976000031,NA,NA,NA,NA,Clinical+ARG/Vir
test,2,0.7578906249999999,0.6798245614035088,0.6363636363636364,0.63,0.6331658291457286,Clinical+ARG/Vir
train,3,0.9642546675886594,0.8969298245614035,0.8789473684210526,0.8743455497382199,0.8766404199475065,Clinical+ARG/Vir
val,3,0.7330737434063037,NA,NA,NA,NA,Clinical+ARG/Vir
test,3,0.7947014752452305,0.7543859649122807,0.8,0.6355140186915887,0.7083333333333334,Clinical+ARG/Vir
train,4,0.9449907520826114,0.8618421052631579,0.8571428571428571,0.8229426433915212,0.8396946564885496,Clinical+ARG/Vir
val,4,0.736853226335301,NA,NA,NA,NA,Clinical+ARG/Vir
test,4,0.7550324675324676,0.6929824561403509,0.6046511627906976,0.5909090909090909,0.5977011494252874,Clinical+ARG/Vir
train,5,0.9988635255097064,0.9901315789473684,0.9875930521091812,0.9900497512437813,0.9888198757763976,Clinical+ARG/Vir
val,5,0.7373573309920983,NA,NA,NA,NA,Clinical+ARG/Vir
test,5,0.7365288986712317,0.6578947368421053,0.5454545454545454,0.6206896551724138,0.5806451612903226,Clinical+ARG/Vir
train,1,1,0.9989035087719298,0.9973890339425588,1,0.9986928104575163,Clinical+ARG/Vir+PanGenome
val,1,0.7574618333803468,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome
test,1,0.7435699389820036,0.6842105263157895,0.6699029126213593,0.6448598130841121,0.6571428571428571,Clinical+ARG/Vir+PanGenome
train,2,0.9806337768558888,0.9364035087719298,0.9168765743073048,0.93573264781491,0.926208651399491,Clinical+ARG/Vir+PanGenome
val,2,0.7204785698129723,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome
test,2,0.77734375,0.7236842105263158,0.6831683168316832,0.69,0.6865671641791045,Clinical+ARG/Vir+PanGenome
train,3,0.9914057097698312,0.956140350877193,0.940721649484536,0.9554973821989527,0.948051948051948,Clinical+ARG/Vir+PanGenome
val,3,0.7380680005410353,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome
test,3,0.8056692670116629,0.7280701754385965,0.7647058823529411,0.6074766355140186,0.6770833333333334,Clinical+ARG/Vir+PanGenome
train,4,0.9906447189267537,0.9594298245614036,0.9439024390243902,0.9650872817955112,0.9543773119605424,Clinical+ARG/Vir+PanGenome
val,4,0.735926532518163,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome
test,4,0.7468344155844157,0.7105263157894737,0.6195652173913043,0.6477272727272727,0.6333333333333333,Clinical+ARG/Vir+PanGenome
train,5,0.9837918251877864,0.944078947368421,0.9249394673123488,0.9502487562189056,0.9374233128834356,Clinical+ARG/Vir+PanGenome
val,5,0.7478197249048874,NA,NA,NA,NA,Clinical+ARG/Vir+PanGenome
test,5,0.6967473709953534,0.631578947368421,0.5142857142857142,0.6206896551724138,0.5625,Clinical+ARG/Vir+PanGenome
