strain	peg344
DKPB001	0
DKPB002	0
DKPB003	0
DKPB005	0
DKPB006	0
DKPB009	1
DKPR001	0
DKPR003	0
DKPR004	0
DKPR005	0
DKPU001	0
DKPU003	0
DKPU004	0
DKPU005	0
DKPU006	0
DKPU008	0
DKPU012	0
DKPU013	0
DKPU016	0
DKPU017	0
DKPU020	0
DKPU021	0
DKPU025	0
DKPU031	0
DKPU033	0
DKPU037	0
DKPU039	0
DKPU040	0
DKPU041	0
DKPU042	0
DKPU043	0
DKPU045	0
DKPU046	0
DKPU047	0
DKPU051	0
DKPU052	0
DKPU053	0
DKPU054	0
DKPU055	0
DKPU056	0
DKPU057	0
DKPU058	0
DKPU059	0
DKPU060	0
DKPU061	0
DKPU063	0
DKPU064	0
DKPU065	0
DKPU066	0
DKPU068	0
DKPU069	0
DKPU070	1
DKPU071	0
DKPU072	0
DKPU074	0
DKPU075	0
DKPU077	0
DKPU078	0
DKPU079	0
DKPU080	0
DKPU081	0
DKPU082	0
DKPU083	0
DKPU084	0
DKPU086	0
DKPU087	0
DKPU090	0
DKPU091	0
DKPU092	0
DKPU093	0
DKPU094	0
DKPU095	0
DKPU096	0
DKPU098	0
DKPU099	0
DKPU101	0
DKPU102	0
DKPU103	0
DKPU105	0
DKPU107	0
DKPU110	0
DKPU111	0
DKPU113	0
DKPU114	0
DKPU115	0
DKPU119	0
ERR3890998	0
ERR3891001	0
ERR3891003	0
ERR3891004	0
ERR3891005	0
ERR3891006	0
ERR3891007	0
ERR3891008	0
ERR3891009	0
ERR3891010	0
ERR3891011	0
ERR3891012	0
ERR3891013	0
ERR3891014	0
ERR3891015	0
ERR3891016	0
ERR3891018	0
ERR3891019	0
ERR3891020	0
ERR3891022	0
ERR3891023	0
ERR3891025	0
ERR3891026	0
ERR3891027	0
ERR3891028	0
ERR3891029	0
ERR3891030	0
ERR3891031	0
ERR3891032	0
ERR3891034	0
ERR3891035	0
ERR3891036	0
ERR3891037	0
ERR3891038	0
ERR3891039	0
ERR3891040	0
ERR3891041	0
ERR3891042	0
ERR3891043	0
ERR3891044	0
ERR3891045	0
ERR3891046	0
ERR3891047	0
ERR3891048	0
ERR3891049	0
ERR3891051	0
ERR3891052	0
ERR3891053	0
ERR3891054	0
ERR3891055	0
ERR3891056	0
ERR3891058	0
ERR3891059	0
ERR3891060	0
ERR3891061	0
ERR3891062	0
ERR3891063	0
ERR3891065	0
ERR3891067	0
ERR3891068	0
ERR3891069	0
ERR3891070	0
ERR3891072	0
ERR3891073	0
ERR3891074	0
ERR3891076	0
ERR3891077	0
ERR3891078	0
ERR3891079	0
ERR3891080	0
ERR3891081	0
ERR3891082	0
ERR3891083	0
ERR3891084	0
ERR3891086	0
ERR3891087	0
ERR3891088	0
ERR3891089	0
ERR3891090	0
ERR3891091	0
ERR3891092	0
ERR3891093	0
ERR3891094	0
ERR3891095	0
ERR3891096	0
ERR3891097	0
ERR3891098	0
ERR3891100	0
ERR3891101	0
ERR3891102	0
ERR3891103	0
ERR3891104	0
ERR3891105	0
ERR3891106	0
ERR3891107	0
ERR3891108	0
ERR3891109	0
ERR3891110	0
ERR3891111	0
ERR3891112	0
ERR3891113	0
ERR3891114	0
ERR3891115	0
ERR3891116	0
ERR3891117	0
